Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst,Metadata_Well
1570,1765.0,1792,1850,1878,E09
3804,3921.0,3961,3661,3541,E10
3126,3418.0,3307,3313,3192,E11
97,61.0,48,96,344,E12
4109,4140.0,4234,3722,3883,E13
3663,4082.0,3923,3643,3766,E14
3152,3133.0,2925,2967,2830,E15
3927,4109.0,4296,4098,3922,E16
2660,2907.0,3005,2798,2577,E17
3702,3931.0,3843,3616,3762,E18
268,285.0,305,290,432,E19
1447,1437.0,1607,1630,1448,E20
75,89.0,88,250,265,E21
2547,2802.0,2651,2716,2498,E22
1289,1678.0,1008,1276,3046,E23
3932,4058.0,4237,4256,4136,E24
3600,3676.0,3434,3481,3351,F01
3977,4194.0,4370,4227,4129,F02
3956,4154.0,4609,3947,4038,F03
256,378.0,270,239,531,F04
2999,3297.0,3230,3284,2937,F05
3101,3182.0,3140,2579,2891,F06
3878,4128.0,4201,3902,3868,F07
3999,4174.0,4071,3884,4039,F08
3033,3122.0,2975,2732,2698,F09
3799,4126.0,3953,3972,3775,F10
513,543.0,524,574,653,F11
169,237.0,131,168,285,F12
772,771.0,733,968,935,F13
1646,1730.0,1672,1751,1825,F14
3634,3946.0,3835,3456,3939,F15
4008,4257.0,4245,3891,4129,F16
3905,4130.0,4004,3554,3590,F17
543,518.0,549,613,644,F18
3358,3211.0,3463,3176,3768,F19
3637,3845.0,3917,3467,3703,F20
4044,4132.0,4154,3884,4332,F21
989,1044.0,989,1111,1049,F22
3155,3068.0,3417,2793,3109,F23
3964,3898.0,4131,3540,3536,F24
3871,4133.0,4014,3897,3791,G01
3773,3973.0,4157,3661,4069,G02
4054,4076.0,4226,4160,3868,G03
184,200.0,197,322,545,G04
2402,2830.0,2705,2646,2865,G05
4021,3998.0,4260,3820,3776,G06
3719,4027.0,4060,3429,3859,G07
3490,3694.0,3670,3408,3936,G08
3720,3839.0,3734,3559,3783,G09
3927,4039.0,4129,3696,4791,G10
335,280.0,239,242,659,G11
3760,3883.0,3840,3901,4003,G12
3848,4233.0,4246,3728,4172,G13
2666,2560.0,2651,2507,2511,G14
3239,3727.0,3274,3425,3521,G15
4117,4155.0,4020,3764,4207,G16
586,646.0,561,638,785,G17
2262,2369.0,2280,2202,1997,G18
3949,4062.0,3966,3988,3640,G19
3721,3871.0,4146,3642,3972,G20
1275,1286.0,1245,1569,1460,G21
3925,4204.0,4302,3827,3979,G22
3104,3099.0,3197,2984,3129,G23
4305,4238.0,4296,4040,3822,G24
3592,3941.0,4127,3765,3769,H01
4040,4047.0,4291,4042,3659,H02
3892,4216.0,4259,3380,3874,H03
3845,3891.0,4231,3905,3871,H04
3156,3292.0,3073,3161,3215,H05
3919,4281.0,4264,3834,3892,H06
4106,4431.0,4402,3851,4024,H07
3955,4170.0,4054,3520,3719,H08
3376,3514.0,3439,2770,3480,H09
4063,4178.0,4178,3628,3894,H10
3531,3506.0,3824,3141,3684,H11
3447,3414.0,3599,3469,3476,H12
3858,4048.0,3943,3547,3583,H13
4113,4009.0,3976,3729,3769,H14
4228,4198.0,3979,3677,4041,H15
3912,3884.0,3969,3845,3883,H16
2937,3228.0,3356,2662,2901,H17
3606,3649.0,4018,3395,3956,H18
1540,1702.0,1549,1566,1599,H19
3329,3360.0,3126,2804,3030,H20
2634,2807.0,2723,2357,2480,H21
4082,4335.0,4457,3833,4022,H22
4177,4291.0,4336,3817,3999,H23
244,253.0,224,238,336,H24
3842,4117.0,3785,3660,3721,I01
4208,4064.0,4107,3968,3966,I02
3952,4027.0,3812,3787,3933,I03
4269,3973.0,4188,3849,3894,I04
3131,3066.0,2897,2834,2909,I05
3097,3609.0,3324,2784,3078,I06
3098,3320.0,3454,2986,3242,I07
88,83.0,88,206,296,I08
3453,3544.0,3529,3452,3685,I09
1811,1973.0,1917,1847,1936,I10
3693,3829.0,3815,3409,3993,I11
4314,4373.0,4371,4156,4267,I12
4085,3794.0,4230,3862,3856,I13
2765,2704.0,2559,2588,2653,I14
3183,3219.0,2930,3201,3257,I15
4388,3911.0,3926,4060,3989,I16
493,498.0,520,623,615,I17
4050,4117.0,4148,3994,3948,I18
4276,4882.0,4078,3816,3920,I19
3782,4385.0,4321,3856,3911,I20
2179,2265.0,2299,2381,2413,I21
92,117.0,112,165,355,I22
3495,3574.0,3858,3318,3149,I23
3603,3471.0,3585,3407,3641,I24
3937,3975.0,4102,3654,3734,J01
128,111.0,74,209,458,J02
3277,3298.0,3387,2962,3191,J03
4030,3842.0,4192,4101,4359,J04
4110,4065.0,3951,3734,3799,J05
3840,4186.0,4118,4062,3838,J06
4096,4031.0,4265,3845,3932,J07
3463,3733.0,4104,3309,3579,J08
1358,1284.0,1307,1320,1440,J09
3833,4072.0,4184,3887,3823,J10
3917,4037.0,4325,3925,3832,J11
3330,3360.0,3513,3162,3514,J12
3542,3596.0,3734,3099,3389,J13
3978,3999.0,3974,3595,3654,J14
3812,3936.0,3939,3459,3416,J15
3474,3618.0,3604,3318,3468,J16
4324,3931.0,4184,3502,3915,J17
3971,4078.0,3942,3595,3659,J18
3945,3947.0,3838,3717,3660,J19
3913,3821.0,4072,3591,3726,J20
2174,2446.0,2324,2481,2204,J21
217,201.0,181,297,517,J22
2298,1990.0,1922,2316,2225,J23
2571,2662.0,2601,2612,2744,J24
425,455.0,401,508,717,K01
2900,3102.0,3151,3231,3188,K02
1924,2149.0,2063,1974,2193,K03
4057,4248.0,4087,3771,3985,K04
4033,4370.0,4147,3734,3763,K05
2294,2354.0,2289,2493,2146,K06
1389,1431.0,1345,1344,1374,K07
3782,3915.0,3719,3513,3723,K09
3760,3825.0,3786,3635,3631,K08
3643,3357.0,3790,3240,3733,K10
3708,3845.0,3815,3493,3735,K11
3779,3989.0,3969,3728,3699,K12
3478,3414.0,3426,3522,3125,K13
3729,3943.0,3945,3569,3607,K14
3855,3908.0,3674,3650,3878,K15
3482,3547.0,3548,3197,3212,K16
124,116.0,124,126,319,K17
3800,4197.0,3742,3638,3766,K18
1518,1579.0,1426,1594,1624,K19
2665,2757.0,2575,2621,2583,K20
3661,4035.0,4147,3881,3929,K21
252,243.0,268,289,406,K22
3842,4024.0,4052,3682,4017,K23
4029,3519.0,3833,3547,3302,K24
3710,4218.0,4026,3168,3614,L01
4130,4015.0,4175,3847,3828,L02
3853,3758.0,3763,3440,3500,L03
3933,4403.0,3960,3416,3784,L04
2026,2133.0,2166,2090,2298,L05
170,169.0,169,222,543,L06
4027,4194.0,4210,3913,4085,L07
3871,3775.0,3994,3576,3826,L08
3717,3827.0,3915,3569,3765,L09
2113,2253.0,2254,2210,2291,L10
3625,4015.0,3908,3757,3778,L11
2811,3069.0,2669,2501,2443,L12
223,194.0,193,293,510,L13
596,596.0,563,617,686,L14
3670,3594.0,3281,3372,3436,L15
2471,2628.0,2442,2431,2454,L16
3996,4002.0,4195,3749,3711,L17
4152,3771.0,4139,3787,3863,L18
2298,2495.0,2511,2616,2607,L19
272,312.0,298,355,610,L20
3874,3990.0,3937,3640,3731,L21
4058,4208.0,4198,3955,4013,L22
3787,3969.0,4478,3941,4254,L23
2939,3025.0,3169,3137,3006,L24
3732,3891.0,3854,3481,3959,M01
4126,4025.0,4121,3694,3931,M02
3833,3963.0,4209,3705,3999,M03
3216,3393.0,3233,2812,3143,M04
931,895.0,1225,1219,1175,M05
2965,3010.0,3052,2873,2833,M06
346,434.0,381,508,996,M07
3344,4205.0,4217,3886,4108,M08
2914,3063.0,2898,3023,3111,M09
756,739.0,741,1018,1105,M10
3715,4143.0,4113,4014,3894,M11
4012,3942.0,4236,4080,3734,M12
4232,4544.0,4624,4309,4513,M13
3894,4384.0,4484,3905,3940,M14
3802,4133.0,3752,3773,3902,M15
4086,4199.0,4197,4244,3266,M16
4126,4245.0,4262,4063,4141,M17
4365,4463.0,4338,3944,4274,M18
4390,4087.0,4262,3908,4253,M19
4095,4265.0,3995,3850,3980,M20
3624,3604.0,3672,3443,3509,M21
1696,1807.0,1829,1882,1658,M22
3690,3922.0,4055,3514,3944,M23
2849,2413.0,2802,2227,2380,M24
224,311.0,219,226,514,N01
3161,3378.0,3524,2843,3196,N02
3692,3677.0,3642,3361,3613,N03
4315,4320.0,4243,3709,3945,N04
2669,2884.0,2664,2764,2875,N05
2973,2984.0,2973,2732,2938,N06
3906,4298.0,4037,3667,3580,N07
1873,1998.0,2023,1927,1974,N08
4497,4072.0,3991,3932,4130,N09
1620,1573.0,1645,1835,1734,N10
1366,1362.0,1458,1522,1495,N11
2190,2258.0,2345,2195,2072,N12
4400,4060.0,4022,3740,4006,N13
76,50.0,70,94,345,N14
3911,4378.0,3831,3934,3784,N15
3676,3800.0,3873,3355,3604,N16
4159,3967.0,4105,3831,4054,N17
4194,3959.0,4364,3656,4284,N18
4105,4249.0,3884,3845,3731,N19
4101,4350.0,4180,3790,3669,N20
3853,3940.0,3950,3269,3769,N21
3683,3639.0,3715,3544,3722,N22
3622,3724.0,3864,3289,3621,N23
3745,3974.0,3836,3371,3569,N24
3786,3479.0,4047,3295,3672,O01
225,242.0,202,227,503,O02
3558,4017.0,3909,3378,3856,O03
4158,4020.0,4270,3660,3401,O04
3821,4189.0,3782,3347,3492,O05
468,495.0,474,550,718,O06
3055,3692.0,3489,3172,3305,O07
847,838.0,816,868,992,O08
3708,3850.0,3875,3351,3693,O09
3278,3257.0,3726,3215,3132,O10
3765,3767.0,3999,3342,3475,O11
4131,4098.0,4019,3580,3830,O12
3647,4151.0,3964,3518,3994,O13
3692,3782.0,3992,3191,3402,O14
3910,4102.0,3528,3550,3408,O15
3858,3885.0,3800,3469,3566,O16
2217,2323.0,2398,2110,2179,O17
3781,4145.0,3816,3686,3863,O18
3453,3398.0,3485,3121,3258,O19
3918,4026.0,3872,3389,3867,O20
3691,3720.0,3696,3143,3817,O21
3088,3196.0,3129,2783,2974,O22
3627,3747.0,3658,3243,3776,O23
1311,1391.0,1484,1347,1314,O24
3553,1655.0,3437,2654,3385,P01
1581,4166.0,1650,1666,1466,P02
3923,3825.0,4037,3276,3688,P03
3611,126.0,3665,2999,3458,P04
108,4876.0,88,84,419,P05
3976,3831.0,3811,3394,3835,P06
3985,2523.0,4091,3046,3247,P07
2387,94.0,2394,2126,2001,P08
70,4037.0,88,253,312,P09
3823,2743.0,3700,3254,3468,P10
3002,3883.0,2678,2398,2482,P11
3471,841.0,3546,3175,3573,P12
508,2207.0,518,594,629,P13
2338,3386.0,2476,2319,2244,P14
3346,3884.0,3284,3199,3116,P15
3695,802.0,3632,3000,3276,P16
656,690.0,769,802,830,P17
673,1589.0,712,885,843,P18
1635,3899.0,1633,1594,1472,P19
4017,3614.0,3836,3428,3445,P20
3634,3995.0,3505,3094,3593,P21
3835,4099.0,3974,3041,3752,P22
4043,3411.0,4048,3336,3628,P23
3610,,3407,2996,3042,P24
