Metadata_Well,Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst
C10,3794,3737,3797,3510,3639
C11,1240,1157,1259,1291,1439
C12,3406,3537,3646,3163,3545
C13,4200,4087,4208,3913,3991
C14,322,248,320,258,620
C15,2651,2719,2577,2510,2840
C16,494,531,509,614,674
C17,4033,4238,4014,3571,3962
C18,4056,3901,4041,3840,4035
C19,3990,4013,4299,3784,3780
C20,4375,4116,4282,4199,4085
C21,3742,3826,4060,3617,3889
C22,3199,3134,3051,3103,3030
C23,3926,4074,4182,3719,3771
C24,2930,3155,3241,2499,2829
D01,3923,4009,4530,3551,3828
D02,3257,3320,3335,3486,2995
D03,278,304,292,267,671
D04,3776,4198,4349,3843,4166
D05,1436,1424,1358,1678,1634
D06,4137,4151,4319,3670,4055
D07,3737,4187,4142,3672,4121
D08,3273,3114,3269,2619,3115
D09,3701,4119,4485,3800,4192
D10,4143,4246,4360,3824,3934
D11,4076,4041,4186,3746,3980
D12,1307,1322,1518,1360,1441
D13,1368,1361,1462,1417,1537
D14,4032,4087,3866,3810,4097
D15,459,533,428,605,774
D16,3897,4309,4340,3876,3936
D17,430,433,300,330,604
D18,3698,3987,3946,3829,3918
D19,3149,3119,3250,2960,3024
D20,3923,4382,4139,4047,3937
D21,262,274,256,308,392
D22,3264,3390,3333,2956,2955
D23,4086,4099,3861,3819,3889
D24,4027,3847,4027,3611,3978
E01,4117,4042,3997,3681,3951
E02,3398,3320,3057,3242,3315
E03,3200,3081,3202,2723,3189
E04,1322,1225,1486,1402,1484
E05,4068,4245,4249,3964,4094
E06,1726,1825,1720,2005,1806
E07,4048,4246,4194,3693,4021
E08,369,408,340,370,709
E09,1570,1765,1792,1850,1878
E10,3804,3921,3961,3661,3541
E11,3126,3418,3307,3313,3192
E12,97,61,48,96,344
E13,4109,4140,4234,3722,3883
E14,3663,4082,3923,3643,3766
E15,3152,3133,2925,2967,2830
E16,3927,4109,4296,4098,3922
E17,2660,2907,3005,2798,2577
E18,3702,3931,3843,3616,3762
E19,268,285,305,290,432
E20,1447,1437,1607,1630,1448
E21,75,89,88,250,265
E22,2547,2802,2651,2716,2498
E23,1289,1678,1008,1276,3046
E24,3932,4058,4237,4256,4136
F01,3600,3676,3434,3481,3351
F02,3977,4194,4370,4227,4129
F03,3956,4154,4609,3947,4038
F04,256,378,270,239,531
F05,2999,3297,3230,3284,2937
F06,3101,3182,3140,2579,2891
F07,3878,4128,4201,3902,3868
F08,3999,4174,4071,3884,4039
F09,3033,3122,2975,2732,2698
F10,3799,4126,3953,3972,3775
F11,513,543,524,574,653
F12,169,237,131,168,285
F13,772,771,733,968,935
F14,1646,1730,1672,1751,1825
F15,3634,3946,3835,3456,3939
F16,4008,4257,4245,3891,4129
F17,3905,4130,4004,3554,3590
F18,543,518,549,613,644
F19,3358,3211,3463,3176,3768
F20,3637,3845,3917,3467,3703
F21,4044,4132,4154,3884,4332
F22,989,1044,989,1111,1049
F23,3155,3068,3417,2793,3109
F24,3964,3898,4131,3540,3536
G01,3871,4133,4014,3897,3791
G02,3773,3973,4157,3661,4069
G03,4054,4076,4226,4160,3868
G04,184,200,197,322,545
G05,2402,2830,2705,2646,2865
G06,4021,3998,4260,3820,3776
G07,3719,4027,4060,3429,3859
G08,3490,3694,3670,3408,3936
G09,3720,3839,3734,3559,3783
G10,3927,4039,4129,3696,4791
G11,335,280,239,242,659
G12,3760,3883,3840,3901,4003
G13,3848,4233,4246,3728,4172
G14,2666,2560,2651,2507,2511
G15,3239,3727,3274,3425,3521
G16,4117,4155,4020,3764,4207
G17,586,646,561,638,785
G18,2262,2369,2280,2202,1997
G19,3949,4062,3966,3988,3640
G20,3721,3871,4146,3642,3972
G21,1275,1286,1245,1569,1460
G22,3925,4204,4302,3827,3979
G23,3104,3099,3197,2984,3129
G24,4305,4238,4296,4040,3822
H01,3592,3941,4127,3765,3769
H02,4040,4047,4291,4042,3659
H03,3892,4216,4259,3380,3874
H04,3845,3891,4231,3905,3871
H05,3156,3292,3073,3161,3215
H06,3919,4281,4264,3834,3892
H07,4106,4431,4402,3851,4024
H08,3955,4170,4054,3520,3719
H09,3376,3514,3439,2770,3480
H10,4063,4178,4178,3628,3894
H11,3531,3506,3824,3141,3684
H12,3447,3414,3599,3469,3476
H13,3858,4048,3943,3547,3583
H14,4113,4009,3976,3729,3769
H15,4228,4198,3979,3677,4041
H16,3912,3884,3969,3845,3883
H17,2937,3228,3356,2662,2901
H18,3606,3649,4018,3395,3956
H19,1540,1702,1549,1566,1599
H20,3329,3360,3126,2804,3030
H21,2634,2807,2723,2357,2480
H22,4082,4335,4457,3833,4022
H23,4177,4291,4336,3817,3999
H24,244,253,224,238,336
I01,3842,4117,3785,3660,3721
I02,4208,4064,4107,3968,3966
I03,3952,4027,3812,3787,3933
I04,4269,3973,4188,3849,3894
I05,3131,3066,2897,2834,2909
I06,3097,3609,3324,2784,3078
I07,3098,3320,3454,2986,3242
I08,88,83,88,206,296
I09,3453,3544,3529,3452,3685
I10,1811,1973,1917,1847,1936
I11,3693,3829,3815,3409,3993
I12,4314,4373,4371,4156,4267
I13,4085,3794,4230,3862,3856
I14,2765,2704,2559,2588,2653
I15,3183,3219,2930,3201,3257
I16,4388,3911,3926,4060,3989
I17,493,498,520,623,615
I18,4050,4117,4148,3994,3948
I19,4276,4882,4078,3816,3920
I20,3782,4385,4321,3856,3911
I21,2179,2265,2299,2381,2413
I22,92,117,112,165,355
I23,3495,3574,3858,3318,3149
I24,3603,3471,3585,3407,3641
J01,3937,3975,4102,3654,3734
J02,128,111,74,209,458
J03,3277,3298,3387,2962,3191
J04,4030,3842,4192,4101,4359
J05,4110,4065,3951,3734,3799
J06,3840,4186,4118,4062,3838
J07,4096,4031,4265,3845,3932
J08,3463,3733,4104,3309,3579
J09,1358,1284,1307,1320,1440
J10,3833,4072,4184,3887,3823
J11,3917,4037,4325,3925,3832
J12,3330,3360,3513,3162,3514
J13,3542,3596,3734,3099,3389
J14,3978,3999,3974,3595,3654
J15,3812,3936,3939,3459,3416
J16,3474,3618,3604,3318,3468
J17,4324,3931,4184,3502,3915
J18,3971,4078,3942,3595,3659
J19,3945,3947,3838,3717,3660
J20,3913,3821,4072,3591,3726
J21,2174,2446,2324,2481,2204
J22,217,201,181,297,517
J23,2298,1990,1922,2316,2225
J24,2571,2662,2601,2612,2744
K01,425,455,401,508,717
K02,2900,3102,3151,3231,3188
K03,1924,2149,2063,1974,2193
K04,4057,4248,4087,3771,3985
K05,4033,4370,4147,3734,3763
K06,2294,2354,2289,2493,2146
K07,1389,1431,1345,1344,1374
K08,3760,3825,3786,3635,3631
K09,3782,3915,3719,3513,3723
K10,3643,3357,3790,3240,3733
K11,3708,3845,3815,3493,3735
K12,3779,3989,3969,3728,3699
K13,3478,3414,3426,3522,3125
K14,3729,3943,3945,3569,3607
K15,3855,3908,3674,3650,3878
K16,3482,3547,3548,3197,3212
K17,124,116,124,126,319
K18,3800,4197,3742,3638,3766
K19,1518,1579,1426,1594,1624
K20,2665,2757,2575,2621,2583
K21,3661,4035,4147,3881,3929
K22,252,243,268,289,406
K23,3842,4024,4052,3682,4017
K24,4029,3519,3833,3547,3302
L01,3710,4218,4026,3168,3614
L02,4130,4015,4175,3847,3828
L03,3853,3758,3763,3440,3500
L04,3933,4403,3960,3416,3784
L05,2026,2133,2166,2090,2298
L06,170,169,169,222,543
L07,4027,4194,4210,3913,4085
L08,3871,3775,3994,3576,3826
L09,3717,3827,3915,3569,3765
L10,2113,2253,2254,2210,2291
L11,3625,4015,3908,3757,3778
L12,2811,3069,2669,2501,2443
L13,223,194,193,293,510
L14,596,596,563,617,686
L15,3670,3594,3281,3372,3436
L16,2471,2628,2442,2431,2454
L17,3996,4002,4195,3749,3711
L18,4152,3771,4139,3787,3863
L19,2298,2495,2511,2616,2607
L20,272,312,298,355,610
L21,3874,3990,3937,3640,3731
L22,4058,4208,4198,3955,4013
L23,3787,3969,4478,3941,4254
L24,2939,3025,3169,3137,3006
M01,3732,3891,3854,3481,3959
M02,4126,4025,4121,3694,3931
M03,3833,3963,4209,3705,3999
M04,3216,3393,3233,2812,3143
M05,931,895,1225,1219,1175
M06,2965,3010,3052,2873,2833
M07,346,434,381,508,996
M08,3344,4205,4217,3886,4108
M09,2914,3063,2898,3023,3111
M10,756,739,741,1018,1105
M11,3715,4143,4113,4014,3894
M12,4012,3942,4236,4080,3734
M13,4232,4544,4624,4309,4513
M14,3894,4384,4484,3905,3940
M15,3802,4133,3752,3773,3902
M16,4086,4199,4197,4244,3266
M17,4126,4245,4262,4063,4141
M18,4365,4463,4338,3944,4274
M19,4390,4087,4262,3908,4253
M20,4095,4265,3995,3850,3980
M21,3624,3604,3672,3443,3509
M22,1696,1807,1829,1882,1658
M23,3690,3922,4055,3514,3944
M24,2849,2413,2802,2227,2380
N01,224,311,219,226,514
N02,3161,3378,3524,2843,3196
N03,3692,3677,3642,3361,3613
N04,4315,4320,4243,3709,3945
N05,2669,2884,2664,2764,2875
N06,2973,2984,2973,2732,2938
N07,3906,4298,4037,3667,3580
N08,1873,1998,2023,1927,1974
N09,4497,4072,3991,3932,4130
N10,1620,1573,1645,1835,1734
N11,1366,1362,1458,1522,1495
N12,2190,2258,2345,2195,2072
N13,4400,4060,4022,3740,4006
N14,76,50,70,94,345
N15,3911,4378,3831,3934,3784
N16,3676,3800,3873,3355,3604
N17,4159,3967,4105,3831,4054
N18,4194,3959,4364,3656,4284
N19,4105,4249,3884,3845,3731
N20,4101,4350,4180,3790,3669
N21,3853,3940,3950,3269,3769
N22,3683,3639,3715,3544,3722
N23,3622,3724,3864,3289,3621
N24,3745,3974,3836,3371,3569
O01,3786,3479,4047,3295,3672
O02,225,242,202,227,503
O03,3558,4017,3909,3378,3856
O04,4158,4020,4270,3660,3401
O05,3821,4189,3782,3347,3492
O06,468,495,474,550,718
O07,3055,3692,3489,3172,3305
O08,847,838,816,868,992
O09,3708,3850,3875,3351,3693
O10,3278,3257,3726,3215,3132
O11,3765,3767,3999,3342,3475
O12,4131,4098,4019,3580,3830
O13,3647,4151,3964,3518,3994
O14,3692,3782,3992,3191,3402
O15,3910,4102,3528,3550,3408
O16,3858,3885,3800,3469,3566
O17,2217,2323,2398,2110,2179
O18,3781,4145,3816,3686,3863
O19,3453,3398,3485,3121,3258
O20,3918,4026,3872,3389,3867
O21,3691,3720,3696,3143,3817
O22,3088,3196,3129,2783,2974
O23,3627,3747,3658,3243,3776
O24,1311,1391,1484,1347,1314
P01,3553,,3437,2654,3385
P02,1581,1655,1650,1666,1466
P03,3923,4166,4037,3276,3688
P04,3611,3825,3665,2999,3458
P05,108,126,88,84,419
P06,3976,4876,3811,3394,3835
P07,3985,3831,4091,3046,3247
P08,2387,2523,2394,2126,2001
P09,70,94,88,253,312
P10,3823,4037,3700,3254,3468
P11,3002,2743,2678,2398,2482
P12,3471,3883,3546,3175,3573
P13,508,841,518,594,629
P14,2338,2207,2476,2319,2244
P15,3346,3386,3284,3199,3116
P16,3695,3884,3632,3000,3276
P17,656,802,769,802,830
P18,673,690,712,885,843
P19,1635,1589,1633,1594,1472
P20,4017,3899,3836,3428,3445
P21,3634,3614,3505,3094,3593
P22,3835,3995,3974,3041,3752
P23,4043,4099,4048,3336,3628
P24,3610,3411,3407,2996,3042
